x,y,z
-137.998993,188.840393,10.967766
-138.125107,186.341995,10.819126
-138.408401,183.884201,10.670876
-138.843704,181.470795,10.523176
-139.425003,179.109406,10.376157
-140.146606,176.805496,10.229986
-141.001801,174.565903,10.084826
-141.986694,172.390701,9.940833
-143.092499,170.291107,9.798182
-144.315399,168.267197,9.657042
-145.714294,166.235397,9.511182
-147.229294,164.295898,9.367469
-148.851700,162.456299,9.226108
-150.582596,160.713593,9.086544
-152.409607,159.079300,8.945804
-154.331802,157.554001,8.803833
-156.343994,156.142502,8.661016
-158.438904,154.851593,8.517820
-160.614899,153.684296,8.374792
-162.864197,152.647598,8.232540
-165.182495,151.746597,8.091734
-167.563995,150.987305,7.953086
-170.004303,150.375305,7.817358
-172.497192,149.916794,7.685340
-175.032501,149.618500,7.557849
-177.606598,149.485794,7.435721
-180.209793,149.524704,7.319810
-182.833603,149.740295,7.210992
-185.469803,150.137405,7.110144
-188.109406,150.720093,7.018167
-190.741806,151.491501,6.935963
-193.359299,152.454407,6.864446
-196.183197,153.723801,6.799695
-197.482803,154.364700,6.768042
-198.864197,155.045303,6.736888
-200.317596,155.761093,6.704913
-201.844498,156.513306,6.671441
-203.433197,157.296204,6.636619
-205.082108,158.109497,6.600583
-206.785507,158.950607,6.563482
-208.541000,159.818695,6.525459
-210.341705,160.710800,6.486659
-212.181702,161.624207,6.447225
-214.057007,162.557297,6.407306
-215.964706,163.509003,6.367035
-217.895905,164.475296,6.326564
-219.850906,165.456497,6.286036
-221.822205,166.449402,6.245592
-223.805099,167.451904,6.205378
-225.795593,168.462402,6.165543
-227.788605,169.478806,6.126223
-229.779007,170.498703,6.087564
-231.760803,171.519699,6.049712
-233.733704,172.541901,6.012810
-235.688293,173.561005,5.977001
-237.624207,174.577103,5.942433
-239.533005,175.586502,5.909244
-241.412903,176.588699,5.877581
-243.257202,177.580597,5.847589
-245.063202,178.561295,5.819408
-246.825302,179.528503,5.793187
-248.541000,180.481506,5.769068
-250.203995,181.417297,5.747195
-251.810898,182.335007,5.727710
-253.358597,183.233505,5.710760
-253.363998,183.236694,5.710708
-255.352707,184.417206,5.692105
-257.219696,185.559296,5.678741
-258.956299,186.661301,5.670973
-260.155487,187.438202,5.667164
-261.417786,188.255096,5.663150
-262.746094,189.114105,5.658946
-264.132599,190.009995,5.654562
-265.574402,190.941101,5.650019
-267.069489,191.906097,5.645327
-268.612701,192.901596,5.640501
-270.201996,193.926407,5.635558
-271.833313,194.977905,5.630515
-273.504089,196.054398,5.625380
-275.212006,197.154404,5.620169
-276.951294,198.274399,5.614900
-278.721100,199.413605,5.609582
-280.516510,200.569000,5.604240
-282.334106,201.738403,5.598879
-284.171692,202.920395,5.593515
-286.024292,204.111801,5.588166
-287.890808,205.311996,5.582843
-289.765808,206.517303,5.577565
-291.648499,207.727493,5.572342
-293.532410,208.938202,5.567190
-295.417389,210.149399,5.562126
-297.298309,211.357803,5.557162
-299.173706,212.562607,5.552316
-301.036499,213.759201,5.547597
-302.886688,214.947495,5.543023
-304.720398,216.125107,5.538609
-306.534607,217.290100,5.534368
-308.324005,218.438995,5.530318
-310.087799,219.571503,5.526470
-311.820709,220.684006,5.522838
-313.522095,221.776199,5.519439
-315.185486,222.843994,5.516288
-316.809509,223.886505,5.513398
-318.390594,224.901306,5.510788
-319.924805,225.886093,5.508465
-321.409210,226.838898,5.506447
-322.841797,227.758301,5.504750
-324.216797,228.640793,5.503387
-322.866394,230.744797,5.503389
-319.896698,235.371796,5.503390
-316.927399,239.998093,5.503292
-315.577087,242.102097,5.503294
-314.200989,241.218796,5.504655
-312.769806,240.300293,5.506352
-311.284485,239.347000,5.508370
-309.749695,238.361801,5.510692
-308.168793,237.347107,5.513306
-306.544708,236.304596,5.516197
-304.880188,235.235992,5.519344
-303.180603,234.145004,5.522743
-301.446106,233.031403,5.526375
-299.682495,231.899094,5.530223
-297.891113,230.748795,5.534276
-296.077789,229.584503,5.538514
-294.243713,228.406601,5.542928
-292.392487,227.217697,5.547502
-290.527008,226.019394,5.552221
-288.653503,224.815903,5.557070
-286.771698,223.606796,5.562030
-284.886505,222.395401,5.567095
-282.999786,221.182907,5.572248
-281.117615,219.973099,5.577470
-279.240112,218.766205,5.582750
-277.373108,217.565704,5.588069
-275.517792,216.372498,5.593420
-273.679688,215.190201,5.598784
-271.860291,214.019608,5.604145
-270.063995,212.863602,5.609491
