type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	31.339986793	121.217073410	1.1						
T	31.339958093	121.217094884	1.0						
T	31.339927677	121.217119935	0.9						
T	31.339901596	121.217143251	0.8						
T	31.339875995	121.217167186	0.8						
T	31.339856371	121.217186518	0.7						
T	31.339839300	121.217203941	0.7						
T	31.339820959	121.217223586	0.6						
T	31.339800846	121.217246692	0.7						
T	31.339780545	121.217271221	0.8						
T	31.339760961	121.217294497	0.9						
T	31.339739479	121.217322550	1.0						
T	31.339718635	121.217350218	1.0						
T	31.339694746	121.217385399	1.1						
T	31.339673846	121.217417180	1.2						
T	31.339652170	121.217455063	1.3						
T	31.339632339	121.217489357	1.3						
T	31.339615142	121.217522332	1.4						
T	31.339596955	121.217558498	1.5						
T	31.339583377	121.217586974	1.5						
T	31.339570858	121.217615059	1.5						
T	31.339557195	121.217647333	1.6						
T	31.339542156	121.217684202	1.6						
T	31.339528980	121.217721831	1.7						
T	31.339517014	121.217758804	1.7						
T	31.339508108	121.217785321	1.8						
T	31.339501227	121.217809757	1.9						
T	31.339491302	121.217847179	2.1						
T	31.339482843	121.217880944	2.2						
T	31.339474351	121.217919877	2.4						
T	31.339465836	121.217962037	2.6						
T	31.339460061	121.217998777	2.7						
T	31.339452945	121.218050446	3.0						
T	31.339448243	121.218092976	3.0						
T	31.339444090	121.218136838	3.0						
T	31.339442518	121.218178643	3.0						
T	31.339441136	121.218221154	3.0						
T	31.339441022	121.218260388	3.0						
T	31.339440751	121.218304351	3.0						
T	31.339442973	121.218350111	3.0						
T	31.339447970	121.218398719	3.0						
T	31.339452991	121.218443697	3.0						
T	31.339458877	121.218485973	3.0						
T	31.339467914	121.218539879	2.9						
T	31.339478168	121.218588027	2.9						
T	31.339489633	121.218637315	2.7						
T	31.339501628	121.218679209	2.4						
T	31.339515780	121.218726880	2.0						
T	31.339532691	121.218774512	1.7						
T	31.339551748	121.218821727	1.4						
T	31.339572111	121.218869057	1.1						
T	31.339590698	121.218909946	0.9						
T	31.339609162	121.218946899	0.8						
T	31.339630367	121.218986550	0.6						
T	31.339653124	121.219025277	0.5						
T	31.339675355	121.219060882	0.4						
T	31.339696643	121.219093345	0.3						
T	31.339711811	121.219115601	0.2						
T	31.339725416	121.219135356	0.1						
T	31.339738981	121.219153112	0.1						
T	31.339750570	121.219167979	0.1						
T	31.339760444	121.219180796	0.1						
T	31.339772420	121.219196248	0.2						
T	31.339784744	121.219211754	0.2						
T	31.339795877	121.219226418	0.3						
T	31.339814265	121.219248873	0.3						
T	31.339829552	121.219266053	0.4						
T	31.339846899	121.219284432	0.4						
T	31.339858326	121.219294052	0.5						
T	31.339873084	121.219308476	0.5						
T	31.339889483	121.219323563	0.6						
T	31.339908300	121.219339714	0.7						
T	31.339927904	121.219356185	0.7						
T	31.339944733	121.219369605	0.8						
T	31.339961822	121.219382900	0.9						
T	31.339978469	121.219395943	0.9						
T	31.339993730	121.219408034	1.0						
T	31.340006665	121.219417940	1.0						
T	31.340018989	121.219426769	1.1						
T	31.340031478	121.219435661	1.2						
T	31.340044530	121.219445540	1.3						
T	31.340057184	121.219454508	1.5						
T	31.340068027	121.219462175	1.6						
T	31.340083147	121.219472240	1.7						
T	31.340117466	121.219494612	2.1						
T	31.340153705	121.219516445	2.5						
T	31.340181325	121.219531768	2.8						
T	31.340260177	121.219576745	3.8						
T	31.340364787	121.219638457	5.0						
T	31.340500576	121.219717722	6.6						
T	31.340622175	121.219783674	6.9						
T	31.340744872	121.219848465	6.7						
T	31.340811595	121.219886802	6.5						
T	31.340850191	121.219912571	6.2						
T	31.340884945	121.219940476	5.9						
T	31.340925169	121.219976051	5.7						
T	31.340962182	121.220014188	5.5						
T	31.340981410	121.220035226	5.5						
T	31.341010192	121.220072127	5.4						
T	31.341034952	121.220109091	5.3						
T	31.341065009	121.220157549	5.2						
T	31.341084518	121.220197143	5.1						
T	31.341102613	121.220235726	5.0						
T	31.341120968	121.220287225	4.9						
T	31.341141691	121.220355887	4.5						
T	31.341152013	121.220400487	4.3						
T	31.341158984	121.220442675	4.2						
T	31.341161794	121.220466800	4.1						
T	31.341164376	121.220490693	4.0						
T	31.341165184	121.220530669	3.9						
T	31.341167078	121.220568638	3.7						
T	31.341166973	121.220607607	3.5						
T	31.341164555	121.220647505	3.2						
T	31.341158920	121.220692694	2.9						
T	31.341153277	121.220733820	2.7						
T	31.341145278	121.220770959	2.4						
T	31.341135530	121.220808766	2.2						
T	31.341125083	121.220844660	2.0						
T	31.341113297	121.220880668	2.0						
T	31.341099157	121.220917598	2.0						
T	31.341085501	121.220949828	2.1						
T	31.341065817	121.220989150	2.1						
T	31.341045068	121.221024860	2.1						
T	31.341021214	121.221061850	2.1						
T	31.340997056	121.221096830	2.0						
T	31.340971942	121.221128337	2.0						
T	31.340942763	121.221161932	2.1						
T	31.340909056	121.221196481	2.2						
T	31.340874600	121.221227905	2.4						
T	31.340836420	121.221259388	2.5						
T	31.340801758	121.221283472	2.8						
T	31.340786809	121.221293736	2.9						
T	31.340775233	121.221301629	3.0						
T	31.340764238	121.221309388	3.0						
T	31.340753128	121.221316908	3.1						
T	31.340734262	121.221328188	3.2						
T	31.340257430	121.221596033	3.7						
T	31.340213166	121.221622777	3.8						
T	31.340175381	121.221648521	3.9						
T	31.340144142	121.221675429	4.0						
T	31.340118659	121.221704714	3.9						
T	31.340097021	121.221733110	3.9						
T	31.340078515	121.221762760	3.9						
T	31.340062841	121.221795533	3.9						
T	31.340049765	121.221830043	3.9						
T	31.340040094	121.221864882	3.9						
T	31.340032944	121.221892624	3.9						
T	31.340028102	121.221919472	3.9						
T	31.340025217	121.221943349	3.9						
T	31.340022921	121.221964627	3.9						
T	31.340022361	121.221987904	3.9						
T	31.340023234	121.222011185	3.9						
T	31.340027081	121.222036238	3.9						
T	31.340031519	121.222059141	3.9						
T	31.340036948	121.222080396	3.9						
T	31.340042952	121.222102525	3.8						
T	31.340049508	121.222123443	3.8						
T	31.340059204	121.222148160	3.8						
T	31.340068171	121.222168866	3.8						
T	31.340078856	121.222190311	3.7						
T	31.340092083	121.222212643	3.7						
T	31.340106129	121.222233105	3.6						
T	31.340120063	121.222250098	3.6						
T	31.340141489	121.222273382	3.6						
T	31.340162688	121.222294685	3.5						
T	31.340184975	121.222315355	3.4						
T	31.340265777	121.222387451	3.1						
T	31.340357928	121.222470574	3.0						
T	31.340494347	121.222593310	3.0						
T	31.340547255	121.222639700	3.0						
T	31.340581567	121.222669165	3.1						
T	31.340612514	121.222694577	3.3						
T	31.340641962	121.222717774	3.5						
T	31.340660794	121.222729583	3.6						
T	31.340678429	121.222739796	3.8						
T	31.340698011	121.222750323	3.9						
T	31.340714844	121.222756861	4.1						
T	31.340734867	121.222763478	4.2						
T	31.340748278	121.222766272	4.3						
T	31.340763531	121.222767679	4.4						
T	31.340782808	121.222768511	4.6						
T	31.340805456	121.222769187	4.7						
T	31.340831236	121.222766864	4.9						
T	31.340855354	121.222763487	4.8						
T	31.340875039	121.222758311	4.7						
T	31.340897514	121.222751141	4.6						
T	31.340914079	121.222743666	4.5						
T	31.340932137	121.222734692	4.4						
T	31.340955700	121.222722737	4.3						
T	31.340976191	121.222708404	4.2						
T	31.341000498	121.222690680	4.1						
T	31.341046596	121.222657720	4.0						
T	31.341094515	121.222624553	4.0						
T	31.341179542	121.222568510	3.9						
T	31.341300252	121.222485015	3.9						
T	31.341454664	121.222375115	3.4						
T	31.341599721	121.222270900	3.0						
T	31.341881501	121.222064894	2.0						
T	31.342053314	121.221939696	1.4						
T	31.342234837	121.221808644	1.6						
T	31.342541115	121.221598572	2.3						
T	31.342776334	121.221436017	4.0						
T	31.342949398	121.221315237	4.3						
T	31.343131613	121.221189122	4.5						
T	31.343307076	121.221063670	4.6						
T	31.343376224	121.221013725	4.3						
T	31.343547172	121.220888569	3.4						
T	31.344097510	121.220480995	-1.5						
T	31.344285317	121.220348418	-0.8						
T	31.344368599	121.220291760	-0.3						
T	31.344411434	121.220260098	0.1						
T	31.344436886	121.220240106	0.5						
T	31.344457123	121.220222212	0.8						
T	31.344468075	121.220211170	1.0						
T	31.344479255	121.220197009	1.3						
T	31.344487178	121.220183896	1.5						
T	31.344494468	121.220170387	1.7						
T	31.344500757	121.220156176	1.9						
T	31.344505229	121.220144860	2.0						
T	31.344509354	121.220130473	2.2						
T	31.344513083	121.220114787	2.4						
T	31.344515829	121.220097917	2.7						
T	31.344517267	121.220081586	2.9						
T	31.344517561	121.220065266	3.1						
T	31.344516429	121.220052470	3.3						
T	31.344514770	121.220040980	3.4						
T	31.344511972	121.220027660	3.6						
T	31.344509423	121.220016829	3.8						
T	31.344504915	121.220003192	4.0						
T	31.344499652	121.219990199	4.0						
T	31.344494046	121.219976653	4.1						
T	31.344488464	121.219963620	4.1						
T	31.344482920	121.219952161	4.2						
T	31.344476522	121.219939671	4.2						
T	31.344469507	121.219926513	4.3						
T	31.344461761	121.219914049	4.3						
T	31.344450074	121.219895646	4.4						
T	31.344438035	121.219878712	4.4						
T	31.344421748	121.219856973	4.4						
T	31.344411701	121.219843855	4.3						
T	31.344398503	121.219827391	4.3						
T	31.344384599	121.219811270	4.2						
T	31.344370459	121.219795830	4.2						
T	31.344358668	121.219783812	4.2						
T	31.344345992	121.219772149	4.1						
T	31.344333931	121.219760721	4.1						
T	31.344322066	121.219749550	4.0						
T	31.344311345	121.219740380	4.0						
T	31.344298752	121.219730272	3.9						
T	31.344288572	121.219722321	3.9						
T	31.344272275	121.219709364	3.7						
T	31.344255462	121.219693150	3.5						
T	31.344241695	121.219680637	3.4						
T	31.344224814	121.219663262	3.2						
T	31.344201533	121.219638762	2.9						
T	31.344179403	121.219610407	2.7						
T	31.344156706	121.219578363	2.5						
T	31.344142059	121.219552175	2.4						
T	31.344130009	121.219522684	2.2						
T	31.344118802	121.219488935	2.1						
T	31.344112764	121.219453911	2.0						
T	31.344109828	121.219420753	1.9						
T	31.344110502	121.219391977	1.8						
T	31.344113902	121.219364243	1.7						
T	31.344120524	121.219335051	1.6						
T	31.344127451	121.219315392	1.5						
T	31.344139899	121.219287464	1.4						
T	31.344152256	121.219266515	1.4						
T	31.344168474	121.219240146	1.3						
T	31.344187993	121.219212283	1.2						
T	31.344204212	121.219191613	1.1						
T	31.344223782	121.219166749	1.0						
T	31.344247011	121.219141027	1.0						
T	31.344271903	121.219116394	1.1						
T	31.344292937	121.219096333	1.1						
T	31.344317623	121.219076281	1.2						
T	31.344340866	121.219058840	1.2						
T	31.344372498	121.219037967	1.3						
T	31.344397634	121.219022293	1.4						
T	31.344424912	121.219006479	1.5						
T	31.344458414	121.218989960	1.7						
T	31.344489033	121.218976848	1.8						
T	31.344522753	121.218964438	2.0						
T	31.344556098	121.218955141	2.2						
T	31.344592549	121.218945581	2.3						
T	31.344625998	121.218938526	2.5						
T	31.344665904	121.218933002	2.6						
T	31.344693533	121.218930999	2.7						
