distance_integrated_m,speed_reconstructed_kmh,lap_time_s,distance_official_length_scaled_m,drs_on,kers_active,kers_bar_fraction_visual
4672,205.947474582514,80.1637323244106,4736.77329133525,0,0,0
4673,203.472032539292,80.1814140532908,4737.78715548151,0,0,0
4674,200.996590496069,80.1990957821709,4738.80101962777,0,0,0
4675,198.709348189501,80.217225214484,4739.81488377403,0,0,0
4676,196.438341376481,80.2353932689882,4740.8287479203,0,0,0
4677,194.329487926134,80.2538682915806,4741.84261206656,0,0,0
4678,192.284033380679,80.2724633329029,4742.85647621282,0,0,0
4679,190.211569040695,80.2913039178119,4743.87034035908,0,0,0
4680,188.118545784881,80.3103314019556,4744.88420450534,0,0,0
4681,186.002320684521,80.3295698119589,4745.89806865161,0,0,0
4682,183.859463541663,80.3490503314394,4746.91193279787,0,0,0
4683,181.695060213411,80.3687267253326,4747.92579694413,0,0,0
4684,179.499938262191,80.3886823794346,4748.93966109039,0,0,0
4685,177.32439289264,80.4088391153082,4749.95352523665,0,0,0
4686,175.177275596417,80.4292878514627,4750.96738938291,0,0,0
4687,173.054592296507,80.4499540770349,4751.98125352918,0,0,0
4688,170.961569040693,80.4708843095931,4752.99511767544,0,0,0
4689,168.841606398805,80.492083936012,4754.0089818217,0,0,0
4690,166.698749255947,80.5135125074405,4755.02284596796,0,0,0
4691,164.819415450117,80.5352573068735,4756.03671011422,0,0,0
4692,163.067590632599,80.5571551170925,4757.05057426049,0,0,0
4693,161.286302109177,80.5794212236353,4758.06443840675,0,0,0
4694,159.484806127291,80.601779931919,4759.07830255301,0,0,0
4695,157.432874525012,80.6245791719443,4760.09216669927,0,0,0
4696,155.294739448048,80.6475526055195,4761.10603084553,0,0,0
4697,152.957077110387,80.6709292288961,4762.1198949918,0,0,0
4698,150.582599166664,80.6946740083334,4763.13375913806,0,0,0
4699,148.182599166664,80.7186740083334,4764.14762328432,0,0,0
4700,146.182458333331,80.7432192708334,4765.16148743058,0,0,0
4701,144.202178072623,80.7679727740922,4766.17535157684,0,0,0
4702,142.191004888266,80.7931124388967,4767.1892157231,0,0,0
4703,140.147370714284,80.8186578660715,4768.20307986937,0,0,0
4704,138.082981725145,80.8444627284357,4769.21694401563,0,0,0
4705,135.97771856725,80.8707785179094,4770.23080816189,0,0,0
4706,133.840657934131,80.8974917758234,4771.24467230815,0,0,0
4707,131.677238496931,80.9245345187884,4772.25853645441,0,0,0
4708,129.468649539876,80.9521418807515,4773.27240060067,0,0,0
4709,127.221319968552,80.9802335003931,4774.28626474694,0,0,0
4710,124.940579838708,81.0087427520161,4775.3001288932,0,0,0
4711,122.617999193548,81.0377750100807,4776.31399303946,0,0,0
