type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	31.337179360	121.217150553	0.8						
T	31.337164167	121.217168659	0.8						
T	31.337149276	121.217188328	0.9						
T	31.337136254	121.217208023	1.0						
T	31.337123639	121.217230735	1.0						
T	31.337112362	121.217255312	1.0						
T	31.337103410	121.217278977	1.0						
T	31.337096108	121.217304944	1.0						
T	31.337089733	121.217334009	1.0						
T	31.337085257	121.217364026	1.0						
T	31.337083140	121.217396257	1.0						
T	31.337084332	121.217428736	1.0						
T	31.337088336	121.217462519	1.0						
T	31.337095276	121.217493668	1.0						
T	31.337105828	121.217524752	0.9						
T	31.337119626	121.217554375	0.8						
T	31.337130179	121.217573503	0.7						
T	31.337144816	121.217595222	0.7						
T	31.337159623	121.217612956	0.6						
T	31.337175468	121.217630270	0.5						
T	31.337186725	121.217641368	0.5						
T	31.337195017	121.217649012	0.5						
T	31.337204208	121.217657182	0.4						
T	31.337218917	121.217668482	0.4						
T	31.337250631	121.217694013	0.3						
T	31.337288231	121.217721193	0.2						
T	31.337331331	121.217750401	0.1						
T	31.337372568	121.217774964	0.0						
T	31.337419498	121.217801103	0.1						
T	31.337472430	121.217825745	0.2						
T	31.337519674	121.217846946	0.3						
T	31.337549972	121.217859229	0.4						
T	31.337573046	121.217867457	0.5						
T	31.337591897	121.217873691	0.6						
T	31.337606377	121.217878434	0.6						
T	31.337620435	121.217882161	0.6						
T	31.337635575	121.217885482	0.7						
T	31.337651014	121.217887797	0.7						
T	31.337667394	121.217889366	0.8						
T	31.337684139	121.217890520	0.8						
T	31.337704160	121.217891065	0.8						
T	31.337732045	121.217891261	0.9						
T	31.337757584	121.217890668	1.0						
T	31.337782617	121.217888891	1.0						
T	31.337809868	121.217885633	1.0						
T	31.337834649	121.217881783	1.1						
T	31.337858000	121.217877411	1.1						
T	31.337880740	121.217872416	1.1						
T	31.337899211	121.217867487	1.1						
T	31.337918577	121.217861370	1.2						
T	31.337930859	121.217856680	1.2						
T	31.337939090	121.217853338	1.2						
T	31.337947588	121.217849908	1.2						
T	31.337957507	121.217845408	1.2						
T	31.337971077	121.217838908	1.2						
T	31.337988863	121.217829956	1.1						
T	31.338005597	121.217820885	1.1						
T	31.338024880	121.217809747	1.1						
T	31.338041473	121.217799289	1.1						
T	31.338056804	121.217789502	1.0						
T	31.338071387	121.217779345	1.0						
T	31.338083613	121.217770519	0.9						
T	31.338095077	121.217761745	0.9						
T	31.338105662	121.217753138	0.8						
T	31.338118831	121.217741740	0.7						
T	31.338131452	121.217730414	0.7						
T	31.338145545	121.217716695	0.6						
T	31.338160176	121.217701507	0.5						
T	31.338173094	121.217687546	0.3						
T	31.338204824	121.217654492	0.1						
T	31.338250270	121.217606921	-0.2						
T	31.338312919	121.217540352	-0.7						
T	31.338388914	121.217461018	-0.5						
T	31.338472558	121.217376690	0.4						
T	31.338571659	121.217281103	1.5						
T	31.338675902	121.217179745	2.4						
T	31.338815673	121.217042884	3.4						
T	31.338994595	121.216858544	3.7						
T	31.339796587	121.216023525	2.7						
T	31.339888625	121.215926260	2.4						
T	31.339956875	121.215858692	2.2						
T	31.339994999	121.215823586	2.1						
T	31.340025956	121.215795807	2.1						
T	31.340056040	121.215771356	2.2						
T	31.340077481	121.215755691	2.3						
T	31.340098634	121.215741317	2.3						
T	31.340118271	121.215729037	2.4						
T	31.340140239	121.215716790	2.4						
T	31.340158618	121.215707097	2.5						
T	31.340176839	121.215698192	2.5						
T	31.340195521	121.215689638	2.5						
T	31.340216579	121.215680622	2.5						
T	31.340255209	121.215664328	2.6						
T	31.340297936	121.215646341	2.7						
T	31.340985718	121.215375726	3.1						
T	31.341907435	121.215008376	2.9						
T	31.341969135	121.214984789	3.0						
T	31.342013948	121.214967831	3.2						
T	31.342023549	121.214964583	3.2						
T	31.342033260	121.214961663	3.2						
T	31.342043633	121.214958593	3.3						
T	31.342053654	121.214956214	3.3						
T	31.342062941	121.214954550	3.3						
T	31.342076685	121.214954213	3.4						
T	31.342089240	121.214955051	3.4						
T	31.342101260	121.214957994	3.5						
T	31.342110839	121.214961738	3.5						
T	31.342122061	121.214967347	3.6						
T	31.342134817	121.214975683	3.7						
T	31.342145834	121.214983553	3.7						
T	31.342155660	121.214991427	3.8						
T	31.342166370	121.215001366	3.8						
T	31.342176084	121.215011748	3.8						
T	31.342186646	121.215024378	3.8						
T	31.342195089	121.215036160	3.8						
T	31.342202628	121.215048412	3.8						
T	31.342208615	121.215059919	3.7						
T	31.342214042	121.215073710	3.7						
T	31.342218639	121.215087808	3.7						
T	31.342222788	121.215102418	3.6						
T	31.342225534	121.215120834	3.6						
T	31.342227036	121.215139606	3.5						
T	31.342226822	121.215157487	3.4						
T	31.342225417	121.215173623	3.4						
T	31.342223627	121.215187880	3.3						
T	31.342220083	121.215202085	3.3						
T	31.342215404	121.215216827	3.2						
T	31.342210031	121.215232450	3.2						
T	31.342203874	121.215247967	3.1						
T	31.342196605	121.215265393	3.0						
T	31.342190382	121.215280192	3.0						
T	31.342183246	121.215295793	3.0						
T	31.342175758	121.215311390	3.0						
T	31.342167850	121.215327534	3.0						
T	31.342158992	121.215345069	3.0						
T	31.342149017	121.215363832	3.0						
T	31.342134744	121.215391136	3.0						
T	31.342116910	121.215425033	3.0						
T	31.342091674	121.215469024	3.0						
T	31.342059064	121.215522622	3.0						
T	31.342019858	121.215583159	3.0						
T	31.341972943	121.215650628	3.0						
T	31.341910691	121.215732677	2.9						
T	31.341849491	121.215807804	2.7						
T	31.341793179	121.215870082	2.4						
T	31.341739742	121.215925874	2.2						
T	31.341690737	121.215973832	2.0						
T	31.341667597	121.215996397	2.0						
T	31.341641893	121.216019188	1.9						
T	31.341607641	121.216048072	1.8						
T	31.341541063	121.216100997	1.5						
T	31.341473655	121.216151659	1.4						
T	31.341395050	121.216209461	1.4						
T	31.341296795	121.216275930	1.5						
T	31.340762488	121.216626156	1.4						
T	31.340096144	121.217078373	1.2						
T	31.340055295	121.217106124	1.0						
T	31.340019833	121.217132114	0.7						
T	31.339992978	121.217152929	0.5						
T	31.339962717	121.217177366	0.4						
T	31.339938600	121.217198552	0.4						
T	31.339913882	121.217221472	0.3						
T	31.339895536	121.217239478	0.4						
T	31.339879994	121.217255596	0.5						
T	31.339863597	121.217273471	0.6						
T	31.339843937	121.217295892	0.7						
T	31.339824758	121.217318586	0.8						
T	31.339805951	121.217342537	0.8						
T	31.339785926	121.217368538	0.9						
T	31.339765683	121.217395809	0.9						
T	31.339743176	121.217428223	1.0						
T	31.339722756	121.217459684	1.0						
T	31.339701752	121.217493374	1.1						
T	31.339683396	121.217525428	1.1						
T	31.339666872	121.217556718	1.2						
T	31.339650114	121.217590138	1.3						
T	31.339636686	121.217619282	1.3						
T	31.339625282	121.217645475	1.3						
T	31.339612608	121.217675956	1.4						
T	31.339598273	121.217712717	1.4						
T	31.339585892	121.217747426	1.5						
T	31.339573882	121.217783208	1.6						
T	31.339567549	121.217803688	1.6						
T	31.339559552	121.217830836	1.8						
T	31.339550699	121.217866148	1.9						
T	31.339543087	121.217899079	2.1						
T	31.339534367	121.217937418	2.3						
T	31.339526376	121.217976986	2.4						
T	31.339520615	121.218011799	2.6						
T	31.339513453	121.218061320	2.8						
T	31.339509675	121.218099605	2.8						
T	31.339506309	121.218139898	2.8						
T	31.339503864	121.218182090	2.9						
T	31.339502189	121.218222090	2.9						
T	31.339501597	121.218259387	2.9						
T	31.339502275	121.218300012	3.0						
T	31.339504188	121.218344238	3.0						
T	31.339508205	121.218387433	3.0						
T	31.339513901	121.218432298	2.9						
T	31.339519264	121.218472673	2.9						
T	31.339528135	121.218524192	2.8						
T	31.339537072	121.218570366	2.7						
T	31.339548431	121.218616835	2.6						
T	31.339558161	121.218655484	2.3						
T	31.339571515	121.218700393	2.0						
T	31.339587279	121.218746138	1.8						
T	31.339604960	121.218791256	1.5						
T	31.339624637	121.218835490	1.3						
T	31.339643507	121.218873184	1.1						
T	31.339661988	121.218908551	0.9						
T	31.339682450	121.218945907	0.8						
T	31.339703798	121.218982450	0.7						
T	31.339725572	121.219017017	0.5						
T	31.339745748	121.219048975	0.5						
T	31.339759378	121.219069278	0.4						
T	31.339772473	121.219087436	0.4						
T	31.339782140	121.219100710	0.4						
T	31.339793006	121.219115558	0.4						
T	31.339803789	121.219129722	0.4						
T	31.339812499	121.219140735	0.4						
T	31.339827187	121.219158145	0.4						
T	31.339838595	121.219171368	0.4						
T	31.339851465	121.219185757	0.5						
T	31.339865121	121.219200673	0.5						
T	31.339879244	121.219216103	0.6						
T	31.339890107	121.219227764	0.6						
T	31.339898604	121.219236649	0.6						
T	31.339913426	121.219251673	0.7						
T	31.339929260	121.219266442	0.7						
T	31.339944747	121.219281279	0.8						
T	31.339961816	121.219296469	0.9						
T	31.339977957	121.219310627	0.9						
T	31.339995313	121.219325814	1.0						
T	31.340010030	121.219338283	1.1						
T	31.340024807	121.219350322	1.1						
T	31.340037349	121.219359985	1.2						
T	31.340048061	121.219367616	1.3						
T	31.340060259	121.219376505	1.4						
T	31.340071272	121.219383919	1.5						
T	31.340082970	121.219391554	1.5						
T	31.340094668	121.219399188	1.6						
T	31.340110108	121.219409253	1.7						
T	31.340155513	121.219437326	2.1						
T	31.340206142	121.219466350	2.6						
T	31.340771764	121.219780361	6.8						
T	31.340840000	121.219817010	6.6						
T	31.340883493	121.219844743	6.2						
T	31.340924095	121.219874729	5.8						
T	31.340967542	121.219912737	5.5						
T	31.341011530	121.219956900	5.3						
T	31.341053163	121.220009049	5.2						
T	31.341090522	121.220063438	5.1						
T	31.341124334	121.220123251	4.9						
T	31.341155635	121.220190688	4.6						
T	31.341180840	121.220259349	4.5						
T	31.341203672	121.220336255	4.2						
T	31.341214040	121.220384692	4.0						
T	31.341221587	121.220431795	3.9						
T	31.341227440	121.220484392	3.7						
T	31.341230179	121.220525535	3.6						
T	31.341231264	121.220568037	3.5						
T	31.341230627	121.220611584	3.3						
T	31.341227716	121.220655113	3.0						
T	31.341222014	121.220703209	2.8						
T	31.341214929	121.220748427	2.5						
T	31.341206269	121.220790105	2.3						
T	31.341196061	121.220830205	2.0						
T	31.341184444	121.220869708	2.0						
T	31.341171625	121.220908815	2.0						
T	31.341156316	121.220948834	2.0						
T	31.341140999	121.220984895	2.0						
T	31.341119610	121.221027693	2.0						
T	31.341096465	121.221067576	2.0						
T	31.341071047	121.221107013	2.0						
T	31.341044835	121.221144913	2.0						
T	31.341017372	121.221179417	2.1						
T	31.340985696	121.221216314	2.2						
T	31.340949248	121.221253208	2.3						
T	31.340912278	121.221286927	2.5						
T	31.340871931	121.221320208	2.6						
T	31.340836182	121.221347240	2.8						
T	31.340819324	121.221359526	3.0						
T	31.340806794	121.221368168	3.0						
T	31.340793739	121.221376215	3.1						
T	31.340781343	121.221383538	3.2						
T	31.340761669	121.221394454	3.3						
T	31.340284983	121.221662216	4.0						
T	31.340243543	121.221687261	3.9						
T	31.340208758	121.221710958	3.9						
T	31.340181954	121.221731953	3.8						
T	31.340160337	121.221754805	3.8						
T	31.340143207	121.221776293	3.8						
T	31.340127823	121.221801288	3.8						
T	31.340114587	121.221825903	3.8						
T	31.340103704	121.221853958	3.7						
T	31.340096217	121.221880486	3.7						
T	31.340090922	121.221905628	3.7						
T	31.340087738	121.221926964	3.7						
T	31.340085503	121.221946551	3.7						
T	31.340084420	121.221965617	3.7						
T	31.340084329	121.221983932	3.7						
T	31.340085306	121.222002270	3.7						
T	31.340087795	121.222021745	3.7						
T	31.340091074	121.222040420	3.7						
T	31.340095289	121.222059449	3.7						
T	31.340100396	121.222078251	3.6						
T	31.340106145	121.222096751	3.6						
T	31.340112629	121.222114336	3.6						
T	31.340120255	121.222131530	3.6						
T	31.340129621	121.222149024	3.5						
T	31.340140769	121.222165813	3.5						
T	31.340153252	121.222182373	3.4						
T	31.340165235	121.222197247	3.4						
T	31.340182383	121.222216482	3.3						
T	31.340200235	121.222233686	3.3						
T	31.340219931	121.222251227	3.2						
T	31.340650846	121.222636130	3.3						
T	31.340674504	121.222655927	3.5						
T	31.340689880	121.222667358	3.6						
T	31.340703979	121.222676177	3.7						
T	31.340719456	121.222684086	3.8						
T	31.340732916	121.222690257	3.9						
T	31.340745798	121.222694175	4.0						
T	31.340757246	121.222697003	4.0						
T	31.340768443	121.222698445	4.1						
T	31.340784589	121.222699753	4.2						
T	31.340802970	121.222700446	4.3						
T	31.340823124	121.222698516	4.4						
T	31.340843289	121.222694962	4.4						
T	31.340860988	121.222690914	4.3						
T	31.340878770	121.222684717	4.3						
T	31.340892016	121.222679508	4.2						
T	31.340906995	121.222672208	4.2						
T	31.340927783	121.222660848	4.1						
T	31.340946831	121.222648464	4.0						
T	31.340969615	121.222633057	4.0						
T	31.341015163	121.222599754	3.9						
T	31.341062115	121.222564904	3.9						
T	31.342019570	121.221876224	1.0						
T	31.342204041	121.221743691	1.2						
T	31.342741350	121.221371837	3.6						
T	31.343341190	121.220949957	3.8						
T	31.344310598	121.220239197	0.0						
T	31.344350621	121.220209065	0.6						
T	31.344389958	121.220178323	1.2						
T	31.344409187	121.220161694	1.5						
T	31.344419030	121.220151625	1.7						
T	31.344424609	121.220144647	1.8						
T	31.344429208	121.220137645	1.9						
T	31.344432931	121.220130669	2.1						
T	31.344436078	121.220123568	2.2						
T	31.344439161	121.220115562	2.3						
T	31.344441943	121.220106978	2.4						
T	31.344444170	121.220097839	2.6						
T	31.344445416	121.220089402	2.7						
T	31.344446148	121.220081013	2.8						
T	31.344446047	121.220073251	2.9						
T	31.344445386	121.220064456	3.1						
T	31.344444561	121.220055497	3.2						
T	31.344443217	121.220045458	3.3						
T	31.344441372	121.220035132	3.5						
T	31.344439220	121.220025003	3.6						
T	31.344436587	121.220014713	3.7						
T	31.344433214	121.220004426	3.9						
T	31.344429653	121.219995179	3.9						
T	31.344425598	121.219984935	3.9						
T	31.344421511	121.219975767	3.9						
T	31.344416324	121.219965746	3.9						
T	31.344410746	121.219955851	3.9						
T	31.344402540	121.219942947	3.9						
T	31.344390250	121.219925108	3.9						
T	31.344374543	121.219903703	3.8						
T	31.344356588	121.219881586	3.8						
T	31.344335618	121.219856833	3.7						
T	31.344310870	121.219831729	3.6						
T	31.344282951	121.219806744	3.5						
T	31.344252233	121.219780732	3.4						
T	31.344236315	121.219767757	3.3						
T	31.344217584	121.219752002	3.3						
T	31.344201230	121.219737101	3.2						
T	31.344182662	121.219718025	3.1						
T	31.344156816	121.219690689	2.9						
T	31.344130959	121.219657579	2.7						
T	31.344105315	121.219618887	2.5						
T	31.344087663	121.219584516	2.4						
T	31.344072984	121.219549317	2.2						
T	31.344060808	121.219508662	2.1						
T	31.344050796	121.219467982	2.0						
T	31.344046793	121.219424873	1.9						
T	31.344047220	121.219393713	1.8						
T	31.344051916	121.219350280	1.7						
T	31.344061045	121.219310398	1.5						
T	31.344077688	121.219265371	1.4						
T	31.344098624	121.219225554	1.2						
T	31.344117975	121.219194745	1.1						
T	31.344139438	121.219163687	1.0						
T	31.344157529	121.219140012	1.0						
T	31.344180439	121.219113263	1.0						
T	31.344204425	121.219088421	1.0						
T	31.344228290	121.219064163	1.1						
T	31.344253997	121.219039956	1.1						
T	31.344281238	121.219016165	1.2						
T	31.344306125	121.218997125	1.3						
T	31.344337872	121.218972399	1.4						
T	31.344366139	121.218955141	1.5						
T	31.344398152	121.218938072	1.7						
T	31.344434666	121.218920762	1.9						
T	31.344468397	121.218906136	2.0						
T	31.344504907	121.218892455	2.2						
T	31.344541896	121.218881795	2.4						
T	31.344581142	121.218872704	2.5						
T	31.344617190	121.218865684	2.7						
T	31.344659916	121.218859773	2.8						
T	31.344690899	121.218857502	2.9						
T	31.344724842	121.218856614	3.0						
T	31.344759814	121.218856658	3.0						
T	31.344788796	121.218858867	3.0						
T	31.344854662	121.218866865	3.0						
T	31.344912032	121.218877501	3.0						
T	31.344976219	121.218895586	3.0						
T	31.345028310	121.218918853	3.0						
T	31.345069638	121.218938856	3.0						
T	31.345123237	121.218969817	3.0						
T	31.345172029	121.219007174	3.0						
T	31.345215415	121.219047313	3.0						
T	31.345251472	121.219083326	3.0						
T	31.345290491	121.219130289	3.0						
T	31.345330836	121.219187436	2.9						
T	31.345363921	121.219244243	3.0						
T	31.345392293	121.219303276	3.1						
T	31.345420070	121.219376022	3.2						
T	31.345439718	121.219443114	3.4						
T	31.345454914	121.219508237	3.5						
T	31.345467886	121.219581037	3.7						
T	31.345476345	121.219646366	3.8						
T	31.345482182	121.219719074	4.0						
T	31.345484128	121.219782994	3.9						
T	31.345483422	121.219849641	3.9						
T	31.345481143	121.219921033	3.8						
T	31.345475148	121.219984543	3.7						
T	31.345469271	121.220038925	3.5						
T	31.345458703	121.220099852	3.3						
T	31.345446597	121.220154454	3.1						
T	31.345433330	121.220204357	2.8						
T	31.345418833	121.220254912	2.6						
T	31.345402156	121.220306314	2.2						
T	31.345383879	121.220356926	1.8						
T	31.345362274	121.220407167	1.4						
T	31.345334516	121.220461799	0.9						
T	31.345308915	121.220509621	0.4						
T	31.345278518	121.220562697	0.0						
T	31.345244971	121.220614239	0.1						
T	31.345212102	121.220659241	0.3						
T	31.345178346	121.220704173	0.5						
T	31.345136426	121.220750348	0.9						
T	31.345092594	121.220794615	1.2						
T	31.345044853	121.220840130	1.7						
T	31.344991717	121.220886780	1.8						
T	31.344935897	121.220932559	1.8						
T	31.344867569	121.220989194	2.0						
T	31.344624880	121.221185805	3.4						
T	31.344292784	121.221450772	4.8						
T	31.343956473	121.221702652	3.1						
T	31.343299026	121.222198986	2.1						
T	31.342786431	121.222597609	4.0						
T	31.341991770	121.223205954	2.5						
T	31.341481592	121.223599694	1.0						
T	31.340914811	121.224049783	4.6						
T	31.338962237	121.225541270	2.7						
T	31.336105968	121.227745225	2.8						
T	31.336050053	121.227785677	3.0						
T	31.336018580	121.227807589	3.1						
T	31.335999676	121.227820766	3.2						
T	31.335980133	121.227833366	3.2						
T	31.335972756	121.227838085	3.2						
T	31.335964871	121.227842783	3.2						
T	31.335959300	121.227845914	3.2						
T	31.335952883	121.227848936	3.3						
T	31.335948592	121.227851054	3.3						
T	31.335944734	121.227852708	3.3						
T	31.335941177	121.227854318	3.3						
T	31.335936528	121.227856282	3.3						
T	31.335932067	121.227857584	3.3						
T	31.335928416	121.227858643	3.3						
T	31.335924238	121.227859615	3.3						
T	31.335920154	121.227860256	3.3						
T	31.335915840	121.227860428	3.3						
T	31.335912006	121.227860287	3.3						
T	31.335908125	121.227859895	3.3						
T	31.335905391	121.227859519	3.3						
T	31.335901164	121.227858730	3.3						
T	31.335898093	121.227858120	3.3						
T	31.335894979	121.227857242	3.3						
T	31.335891523	121.227856056	3.3						
T	31.335888470	121.227854861	3.3						
T	31.335884736	121.227853129	3.3						
T	31.335880575	121.227851206	3.3						
T	31.335876384	121.227849175	3.3						
T	31.335872701	121.227847126	3.2						
T	31.335868673	121.227844792	3.2						
T	31.335864950	121.227842160	3.2						
T	31.335860963	121.227838765	3.2						
T	31.335857135	121.227834505	3.2						
T	31.335853952	121.227830661	3.2						
T	31.335851090	121.227826378	3.2						
T	31.335848337	121.227821708	3.2						
T	31.335846034	121.227817344	3.1						
T	31.335844154	121.227812879	3.1						
T	31.335842703	121.227807587	3.1						
T	31.335841545	121.227801447	3.1						
T	31.335840448	121.227794068	3.1						
T	31.335839549	121.227786898	3.0						
T	31.335838475	121.227779767	3.0						
T	31.335837908	121.227773221	3.0						
T	31.335837542	121.227766056	3.0						
T	31.335837263	121.227759386	2.9						
T	31.335837229	121.227752344	2.9						
T	31.335837309	121.227744183	2.9						
T	31.335837699	121.227735011	2.8						
T	31.335838292	121.227724814	2.8						
T	31.335839901	121.227709907	2.8						
T	31.335842285	121.227690509	2.7						
T	31.335846168	121.227669855	2.6						
T	31.335851583	121.227646474	2.5						
T	31.335859440	121.227620398	2.4						
T	31.335867008	121.227595998	2.3						
T	31.335880954	121.227552453	2.0						
T	31.335899872	121.227498868	1.8						
T	31.335921509	121.227451333	1.6						
T	31.335949074	121.227394430	1.4						
T	31.335984048	121.227329893	1.1						
T	31.336019154	121.227268499	0.8						
T	31.336057388	121.227204657	0.4						
T	31.336095919	121.227141162	0.4						
T	31.336124372	121.227099179	0.5						
T	31.336146008	121.227070728	0.7						
T	31.336165866	121.227044705	0.8						
T	31.336186909	121.227020765	1.0						
T	31.336212991	121.226994048	1.2						
T	31.336242485	121.226969349	1.4						
T	31.336317199	121.226910282	1.9						
T	31.336724938	121.226572928	3.9						
T	31.337245360	121.226133320	3.9						
T	31.338135589	121.225376467	3.0						
T	31.338155487	121.225358672	3.0						
T	31.338172898	121.225343142	3.0						
T	31.338187268	121.225330200	3.0						
T	31.338198674	121.225320023	3.0						
T	31.338208223	121.225310674	3.0						
T	31.338214988	121.225303201	3.0						
T	31.338221558	121.225294597	3.0						
T	31.338226667	121.225287096	3.0						
T	31.338230634	121.225278831	3.0						
T	31.338233096	121.225272704	3.0						
T	31.338234893	121.225266212	2.9						
T	31.338236254	121.225259807	2.9						
T	31.338237209	121.225252413	2.9						
T	31.338237870	121.225244846	2.8						
T	31.338238126	121.225235326	2.8						
T	31.338237931	121.225226443	2.8						
T	31.338237640	121.225215623	2.7						
T	31.338237154	121.225207309	2.7						
T	31.338236473	121.225197629	2.6						
T	31.338234171	121.225180907	2.6						
T	31.338231408	121.225164237	2.5						
T	31.338227796	121.225146820	2.4						
T	31.338223546	121.225128906	2.4						
T	31.338218234	121.225106264	2.3						
T	31.338211848	121.225076250	2.2						
T	31.338004994	121.224148585	3.9						
T	31.337626257	121.222252243	5.4						
